ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,1.0,2.15,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.9,0.97,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.8,0.81,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.7,0.69,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.6,0.69,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.5,0.73,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.4,0.68,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.3,0.73,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.2,0.75,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0261,3.0,0.1,0.70,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,1.0,0.71,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.9,0.72,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.8,0.63,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.7,0.69,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.6,0.64,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.5,0.61,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.4,0.65,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.3,0.67,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.2,0.65,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.0100,3.0,0.1,0.71,10,bw 
0.4619,0.3995,0.4667,0.3626,0.3819,0.3720,0.2678,0.00090,0.1000,3.0,1.0,1.07,20,bw 
0.4667,0.4032,0.4714,0.3667,0.3872,0.3767,0.2731,0.00090,0.1000,3.0,0.9,2.09,39,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.1000,3.0,0.8,0.68,10,bw 
0.4619,0.3946,0.4667,0.3566,0.3780,0.3670,0.2615,0.00090,0.1000,3.0,0.7,0.74,12,bw 
0.4619,0.3946,0.4667,0.3566,0.3780,0.3670,0.2615,0.00090,0.1000,3.0,0.6,0.95,18,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.1000,3.0,0.5,0.63,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.1000,3.0,0.4,0.66,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.1000,3.0,0.3,0.64,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.1000,3.0,0.2,0.60,10,bw 
0.4619,0.4048,0.4714,0.3619,0.3852,0.3732,0.2686,0.00090,0.1000,3.0,0.1,0.61,10,bw 
0.5000,0.3670,0.5000,0.3399,0.4437,0.3849,0.2702,0.00090,1.0000,3.0,1.0,3.62,86,bw 
