ACC,MIhat,Purity,P,R,F,RI,omega,lambda,r,p,time,iter
0.7975,0.8863,0.8175,0.7147,0.7417,0.7279,0.7215,0.01000,0.0079,3.0,1.0,1.67,14,bw 
0.7975,0.8863,0.8175,0.7147,0.7417,0.7279,0.7215,0.01000,0.0079,3.0,0.9,2.13,15,bw 
0.8050,0.8906,0.8250,0.7282,0.7544,0.7411,0.7350,0.01000,0.0079,3.0,0.8,1.52,14,bw 
0.8050,0.8906,0.8250,0.7282,0.7544,0.7411,0.7350,0.01000,0.0079,3.0,0.7,1.78,13,bw 
0.8050,0.8907,0.8250,0.7287,0.7550,0.7416,0.7355,0.01000,0.0079,3.0,0.6,1.43,13,bw 
0.8075,0.8933,0.8275,0.7356,0.7589,0.7471,0.7411,0.01000,0.0079,3.0,0.5,1.53,12,bw 
0.8075,0.8917,0.8300,0.7314,0.7578,0.7443,0.7383,0.01000,0.0079,3.0,0.4,2.38,13,bw 
0.8075,0.8806,0.8225,0.7107,0.7467,0.7283,0.7218,0.01000,0.0079,3.0,0.3,1.18,10,bw 
0.7725,0.8708,0.7925,0.6833,0.7217,0.7020,0.6949,0.01000,0.0079,3.0,0.2,1.74,11,bw 
0.8075,0.8817,0.8150,0.7059,0.7389,0.7220,0.7155,0.01000,0.0079,3.0,0.1,2.38,15,bw 
0.7975,0.8876,0.8200,0.7143,0.7444,0.7291,0.7227,0.01000,0.0100,3.0,1.0,1.79,13,bw 
0.7975,0.8863,0.8175,0.7147,0.7417,0.7279,0.7215,0.01000,0.0100,3.0,0.9,1.62,14,bw 
0.7975,0.8863,0.8175,0.7147,0.7417,0.7279,0.7215,0.01000,0.0100,3.0,0.8,2.31,13,bw 
0.8050,0.8906,0.8250,0.7282,0.7544,0.7411,0.7350,0.01000,0.0100,3.0,0.7,1.55,12,bw 
0.8050,0.8907,0.8275,0.7281,0.7556,0.7415,0.7355,0.01000,0.0100,3.0,0.6,2.14,12,bw 
0.8050,0.8908,0.8275,0.7286,0.7561,0.7421,0.7360,0.01000,0.0100,3.0,0.5,1.66,12,bw 
0.8225,0.8931,0.8350,0.7353,0.7622,0.7485,0.7426,0.01000,0.0100,3.0,0.4,1.40,12,bw 
0.8050,0.8872,0.8250,0.7224,0.7517,0.7367,0.7305,0.01000,0.0100,3.0,0.3,3.26,11,bw 
0.8125,0.8853,0.8250,0.7191,0.7539,0.7361,0.7299,0.01000,0.0100,3.0,0.2,2.61,10,bw 
0.7950,0.8783,0.8100,0.7007,0.7389,0.7193,0.7127,0.01000,0.0100,3.0,0.1,2.90,11,bw 
0.8025,0.8915,0.8225,0.7216,0.7544,0.7376,0.7315,0.01000,0.1000,3.0,1.0,5.72,44,bw 
0.8050,0.8925,0.8250,0.7266,0.7561,0.7411,0.7350,0.01000,0.1000,3.0,0.9,5.90,41,bw 
0.8050,0.8925,0.8250,0.7266,0.7561,0.7411,0.7350,0.01000,0.1000,3.0,0.8,4.45,35,bw 
0.8050,0.8916,0.8275,0.7215,0.7572,0.7390,0.7328,0.01000,0.1000,3.0,0.7,3.09,24,bw 
0.8050,0.8839,0.8200,0.7091,0.7433,0.7258,0.7193,0.01000,0.1000,3.0,0.6,4.58,36,bw 
0.8000,0.8854,0.8200,0.7109,0.7433,0.7268,0.7203,0.01000,0.1000,3.0,0.5,1.99,17,bw 
0.8025,0.8902,0.8225,0.7215,0.7511,0.7360,0.7298,0.01000,0.1000,3.0,0.4,1.85,15,bw 
0.7975,0.8863,0.8175,0.7147,0.7417,0.7279,0.7215,0.01000,0.1000,3.0,0.3,1.86,15,bw 
0.7950,0.8872,0.8200,0.7147,0.7433,0.7288,0.7224,0.01000,0.1000,3.0,0.2,3.17,16,bw 
0.8175,0.8935,0.8350,0.7339,0.7617,0.7475,0.7416,0.01000,0.1000,3.0,0.1,1.54,11,bw 
0.8175,0.9006,0.8400,0.7448,0.7783,0.7612,0.7556,0.01000,1.0000,3.0,1.0,8.04,69,bw 
0.8125,0.8977,0.8325,0.7317,0.7667,0.7488,0.7428,0.01000,1.0000,3.0,0.9,7.26,67,bw 
0.8000,0.8889,0.8225,0.7233,0.7478,0.7353,0.7291,0.01000,1.0000,3.0,0.8,6.54,62,bw 
0.8025,0.8915,0.8225,0.7216,0.7544,0.7376,0.7315,0.01000,1.0000,3.0,0.7,6.87,62,bw 
0.8075,0.8946,0.8300,0.7371,0.7617,0.7492,0.7433,0.01000,1.0000,3.0,0.6,6.32,60,bw 
0.8100,0.8970,0.8325,0.7431,0.7667,0.7547,0.7490,0.01000,1.0000,3.0,0.5,6.55,58,bw 
0.8050,0.8925,0.8250,0.7266,0.7561,0.7411,0.7350,0.01000,1.0000,3.0,0.4,6.71,56,bw 
0.8050,0.8925,0.8275,0.7265,0.7572,0.7416,0.7355,0.01000,1.0000,3.0,0.3,6.46,54,bw 
0.7975,0.8877,0.8225,0.7147,0.7472,0.7306,0.7242,0.01000,1.0000,3.0,0.2,1.73,15,bw 
